Team,q101.1,q101.2,q101.3,q101.4,q102.1,q102.2,q102.3,q102.4,q103.1,q103.2,q103.3,q103.4,q104.1,q104.2,q104.3,q104.4
Alpha,0.024,0.044,0.411,0.028,0.396,0.095,0.027,0.106,0.059,0.015,0.021,0.065,0.014,0.139,0.025,0.048
Bravo,0.199,0.078,0.008,0.140,0.012,0.172,0.019,0.061,0.201,0.507,0.003,0.725,0.058,0.107,0.036,0.026
Charlie,0.094,0.008,0.154,0.065,0.175,0.128,0.034,0.096,0.408,0.190,0.022,0.373,0.047,0.038,0.190,0.003
Delta,0.030,0.068,0.120,0.081,0.683,0.535,0.018,0.028,0.528,0.151,0.029,0.614,0.006,0.044,0.210,0.007
Echo,0.023,0.044,0.207,0.033,0.065,0.024,0.029,0.087,0.346,0.317,0.090,0.093,0.054,0.008,0.162,0.043
Foxtrot,0.161,0.058,0.048,0.094,0.063,0.082,0.050,0.047,0.366,0.042,0.101,0.205,0.067,0.273,0.040,0.024
Golf,0.071,0.010,0.077,0.022,0.137,0.089,0.014,0.023,0.354,0.538,0.008,0.714,0.039,0.026,0.184,0.020
Hotel,0.006,0.058,0.157,0.039,0.181,0.095,0.018,0.057,0.343,0.197,0.009,0.505,0.015,0.133,0.215,0.025
India,0.073,0.010,0.056,0.010,0.641,0.222,0.331,0.149,0.194,0.212,0.138,0.462,0.152,0.064,0.255,0.012
Juliet,0.190,0.026,0.060,0.195,0.964,0.199,0.095,0.058,0.341,0.030,0.170,0.256,0.029,0.020,0.196,0.013
Kilo,0.149,0.001,0.307,1.320,0.231,0.040,0.212,0.406,0.912,0.239,0.251,0.105,0.202,0.023,0.548,0.190
Lima,0.038,0.014,0.025,0.076,0.198,0.029,0.022,0.272,1.591,0.204,0.061,0.042,0.020,0.017,0.067,0.045
Mike,0.054,0.006,0.095,0.003,0.211,0.072,0.039,0.034,0.258,0.227,0.006,0.220,0.007,0.024,0.003,0.029