Forecaster ID,q203.1,q203.2,q203.3,q203.4,q204.1,q204.2,q204.3,q204.4,q205.1,q205.2,q205.3,q205.4,q205.5,q205.6,q206.1,q206.2,q206.3,q206.4,q206.5,q206.6
fc44,0.472,0.137,0.032,0.423,0.513,0.068,0.034,0.488,0.117,0.754,0.804,0.171,0.145,0.049,1.984,2.055,1.555,0.001,0.461,0.381
fc45,0.246,0.23,0.518,0.325,0.021,0.012,0.13,0.109,1.019,0.048,0.073,0.478,0.086,0.537,1.838,1.69,1.114,0.056,0.204,0.375
fc46,0.48,0.281,0.073,0.27,0.329,0.004,0.211,0.516,0.076,0.013,0.025,0.164,0.197,0.756,0.746,0.707,0.306,0.709,0.204,0.037
fc47,0.216,0.073,0.384,0.325,0.091,0.058,0.221,0.088,0.327,0.198,0.256,0.116,0.151,0.133,1.64,1.83,1.347,0.157,0.063,0.545
fc48,0.458,0.281,0.001,0.073,0.442,0.004,0.794,0.069,0.307,0.314,0.025,0.038,0.106,0.278,0.908,1.126,0.69,0.061,0.144,0.778
fc49,0.48,0.109,0.449,0.008,0.422,0.008,0.561,0.697,0.146,0.217,0.248,0.062,0.352,0.964,0.753,0.934,0.502,0.002,0.033,0.004
fc50,0.471,0.053,0.518,0.23,0.015,0.004,0.232,0.142,0.091,0.47,0.382,0.63,0.379,0.053,1.317,1.879,1.296,1.038,0.997,0.677
fc51,0.412,0.001,0.014,0.023,0.199,0.194,0.503,0.345,0.079,0.681,0.679,0.193,0.05,0.373,0.634,0.681,0.266,0.134,0.5,0.04
fc52,0.283,0.004,0.048,0,0.131,0.002,0.067,0.131,0.086,0.125,0.105,0.01,0.066,1.274,0.629,0.902,0.47,0.005,0.263,0.233
fc53,0.435,0.281,0.005,0.029,0.023,0.044,0.024,0.39,0.313,0.458,0.28,0.026,0.167,0.994,0.266,0.389,0.385,0.001,0.131,0.677
fc54,0.246,0.005,0.563,0,0.02,0.003,0.293,0.115,0.163,0.147,0.203,0.166,0.266,0.972,1.395,1.382,0.828,0.248,0.435,0.192
fc55,0.024,0.004,0.212,0.004,0.07,0.002,0.221,0.335,0.114,0.339,0.352,0.34,0.275,0.912,0.852,0.868,0.522,0.173,0.12,0.022
fc56,0.485,0.336,0.593,0.078,0.103,0.026,0.079,0.078,0.097,0.332,0.448,0.422,0.551,0.004,0.824,1.577,1.13,0.91,0.916,0.638
fc57,0.197,0.16,0.23,0.303,0.087,0.212,0.26,0.243,0.042,0.538,0.581,0.149,0.525,1.788,0.232,0.195,0.053,2.133,0.221,0.419
fc58,0.228,0.096,0.504,0.048,0.08,0.02,0.017,0.453,0.115,0.23,0.412,0.296,0.654,0.69,0.889,0.903,0.438,0.001,0.079,0.417
fc59,0.14,0.029,0.384,0.221,0.329,0.004,0.06,0.516,0.144,0.938,1.03,0.449,0.309,0.788,0.005,0.077,1.593,0.001,0.647,0.536
fc60,0.155,0.023,0,0.012,0.329,0.116,0.221,0.466,0.11,0.399,0.419,0.067,0.167,0.44,0.033,0.022,0.03,0.001,0.661,0.029
fc61,0.334,0.144,0.325,0.005,0.085,0.008,0.221,0.434,0.239,0.83,0.415,0.264,0.673,1.784,0.746,1.621,1.296,0.005,0.004,0.168
fc62,0.335,0.001,0.102,0.029,0.024,0.002,0.128,0.143,0.007,0.55,0.374,0.083,0.34,0.52,1.355,1.532,1.383,0.049,0.312,0.3
fc63,0.359,0.123,0,0.032,0.127,0.24,0.041,0.348,0.72,0.248,0.071,0.026,0.269,0.758,1.668,1.52,0.598,0.001,0.002,0.28
fc64,0.471,0,0.063,0.006,0.626,0.036,0.221,0.662,0.161,0.27,0.145,0.21,0.135,0.009,1.451,1.682,1.755,0.034,0.383,0.567
fc65,0.012,0.281,0.017,0.27,0.023,0.044,0.567,0.535,0.076,0.013,0.025,0.324,0.779,0.756,1.652,2.145,1.686,0.512,0.18,0.574
fc66,0.33,0.005,0.005,0.048,0.126,0.004,0.036,0.68,0.115,0.538,0.621,0.031,0.004,0.768,1.482,1.695,1.106,0.013,0.065,0.644
fc67,0.48,0.102,0,0.005,0.198,0.036,0.061,0.37,0.036,0.926,1.03,0.542,0.692,0.69,2.281,2.183,1.528,0.001,0.991,0.351
fc68,0.29,0.014,0.176,0.078,0.046,0.116,1.076,0.739,0.16,0.275,0.305,0.054,0.487,1.1,1.047,1.475,0.962,0.111,0.001,0.43
fc69,0.432,0.102,0.26,0.006,0.068,0.023,0.038,0.27,0.17,0.429,0.438,0.448,0.286,0.721,0.087,1.295,0.879,0.019,0.065,0.508
fc70,0.29,0.063,0.325,0.23,0.097,0.005,0.433,0.06,0.076,0.013,0.025,0.18,0.249,0.652,1.438,1.879,1.296,0.171,0.124,0.178
fc71,0.07,0.023,0.303,0,0.329,0.27,0.181,0.763,0.098,0.248,0.117,0.026,0.417,1.937,1.075,0.036,0.521,1.86,0.606,0.295
fc72,0.48,0.09,0.563,0.348,0.126,0.036,0.303,0.53,0.032,0.053,0.055,0.338,1.029,0.958,0.952,1.413,1.586,0.228,0.14,0.503
fc73,0.461,0.029,0.292,0.053,0.262,0.002,0.231,0.503,0.202,0.364,0.422,0.245,0.049,1.225,1.649,2.146,1.663,0.001,0.519,0.668