Team,q101.1,q101.2,q101.3,q101.4,q102.1,q102.2,q102.3,q102.4,q103.1,q103.2,q103.3,q103.4,q104.1,q104.2,q104.3,q104.4
UPfc01,0.034,0.068,0.147,0.026,1.148,0.084,0.187,0.008,0.265,0.421,0.005,0.600,0.030,0.129,0.087,0.094
UPfc02,0.003,0.002,0.243,0.009,0.029,0.114,0.007,0.164,0.389,0.415,0.144,0.372,0.018,0.081,0.052,0.010
UPfc03,0.230,0.058,0.453,0.039,1.332,0.305,0.395,0.003,0.394,0.364,0.024,0.658,0.022,0.141,0.067,0.008
UPfc04,0.085,0.000,0.452,0.003,0.059,0.130,0.018,0.002,0.229,0.236,0.013,0.361,0.026,0.159,0.040,0.038
UPfc06,0.113,0.058,0.376,0.039,0.494,0.210,0.220,0.057,0.351,0.364,0.047,0.532,0.036,0.136,0.041,0.007
UPfc09,0.064,0.026,0.357,0.009,0.138,0.033,0.043,0.106,0.101,0.234,0.024,0.311,0.033,0.156,0.005,0.020
UPfc11,0.023,0.002,0.948,0.014,0.097,0.114,0.018,0.106,0.313,0.492,0.145,0.368,0.023,0.083,0.159,0.215
UPfc12,0.029,0.032,0.271,0.023,0.022,0.058,0.003,0.065,0.263,0.355,0.006,0.385,0.012,0.228,0.056,0.026
UPfc14,0.059,0.026,0.035,0.016,0.406,0.051,0.040,0.260,0.078,0.004,0.160,0.299,0.142,0.054,0.072,0.070
UPfc15,0.073,0.036,0.103,0.039,0.144,0.037,0.067,0.026,0.312,0.413,0.070,0.855,0.031,0.111,0.002,0.007
UPfc16,0.010,0.020,0.157,0.009,0.412,0.132,0.040,0.008,0.223,0.276,0.015,0.424,0.002,0.133,0.008,0.013
UPfc17,0.019,0.073,0.298,0.008,0.039,0.088,0.008,0.061,0.390,0.396,0.007,0.660,0.040,0.079,0.063,0.019
UPfc18,0.029,0.008,0.255,0.039,0.482,0.013,0.078,0.016,0.227,0.318,0.029,0.126,0.012,0.093,0.019,0.046
UPfc19,0.007,0.002,0.416,0.009,0.012,0.079,0.042,0.009,0.348,0.319,0.055,0.053,0.033,0.158,0.157,0.015
UPfc20,0.026,0.029,0.093,0.004,0.046,0.039,0.002,0.096,0.418,0.212,0.001,0.255,0.015,0.090,0.209,0.080