Team/Forecaster,q203.1,q203.2,q203.3,q203.4,q204.1,q204.2,q204.3,q204.4,q205.1,q205.2,q205.3,q205.4,q205.5,q205.6,q206.1,q206.2,q206.3,q206.4,q206.5,q206.6
Alpha,0.513,0.469,0.374,0.265,0.395,0.300,0.591,0.812,0.475,0.632,0.720,0.527,0.912,1.038,1.163,1.027,1.092,0.369,0.786,0.791
Bravo,0.786,0.361,0.245,0.300,0.352,0.480,0.348,0.872,0.761,0.752,0.756,0.908,0.817,0.000,1.258,1.251,1.160,0.261,0.957,0.907
Charlie,0.962,0.548,0.831,0.520,0.719,0.200,0.671,0.990,0.821,0.752,0.949,0.692,0.713,0.980,1.228,1.239,1.145,0.261,0.806,0.795
Delta,0.341,0.245,0.469,0.332,0.645,0.583,0.865,0.727,0.324,0.468,0.479,0.712,0.687,0.616,1.044,1.100,0.971,0.598,0.666,0.829
Echo,0.825,0.424,0.686,0.447,0.587,0.412,0.628,0.682,0.529,0.880,0.754,0.528,0.621,1.039,1.054,1.089,1.032,0.632,0.596,0.858
Foxtrot,0.846,0.265,0.787,0.755,0.479,0.332,0.473,0.821,0.544,0.814,0.839,0.365,0.851,1.028,1.227,1.236,1.141,0.326,0.946,0.880
Golf,0.656,0.316,0.224,0.100,0.708,0.608,0.330,0.628,0.640,0.802,0.823,0.952,1.011,0.784,1.258,1.251,1.160,0.410,0.932,0.907
Hotel,0.822,0.361,0.640,0.265,0.436,0.819,0.382,0.643,0.621,0.817,0.837,0.520,0.739,1.068,1.258,1.251,1.160,0.170,0.356,0.907
Impact Team A,0.657,0.447,0.735,0.141,0.656,0.100,0.491,0.605,0.428,0.840,0.815,0.742,0.787,0.693,1.208,1.242,1.148,0.723,0.629,0.896
Impact Team B,0.706,0.200,0.624,0.374,0.612,0.374,0.599,0.710,0.669,0.765,0.758,0.584,0.625,0.990,1.052,1.134,1.047,0.465,0.750,0.875
India,0.402,0.374,0.900,0.412,0.521,0.300,0.465,0.499,0.539,0.969,0.938,0.849,0.927,1.002,1.036,1.060,1.107,0.170,0.864,0.872
Juliet,0.671,0.200,0.671,0.361,0.637,0.000,0.425,0.611,0.794,0.540,0.623,0.801,0.950,0.879,1.159,1.192,1.143,0.571,0.784,0.768
RAMPAGE Team A,0.769,0.574,0.539,0.200,0.487,0.648,0.581,0.687,0.494,0.505,0.529,0.604,0.708,0.755,1.093,1.115,1.011,0.606,0.915,0.864
RAMPAGE Team B,0.791,0.632,0.548,0.520,0.727,0.245,0.684,0.991,0.406,0.924,0.892,0.730,0.724,0.762,1.202,1.175,1.117,0.257,0.528,0.852